WikidataID,WikidataFiestaURI,FiestaLabel,Location,WikidataLocation
Q5861717,http://www.wikidata.org/entity/Q5861717,Fiesta de la Vendimia (Jerez de la Frontera),Jerez de la Frontera,http://www.wikidata.org/entity/Q12303
Q5886937,http://www.wikidata.org/entity/Q5886937,Semana Santa en Zamora,Zamora,http://www.wikidata.org/entity/Q15696
Q5962041,http://www.wikidata.org/entity/Q5962041,La Arribada,Bayona,http://www.wikidata.org/entity/Q748867
Q6087155,http://www.wikidata.org/entity/Q6087155,Procesión del Corpus Christi de Toledo,Toledo,http://www.wikidata.org/entity/Q5836
Q6124513,http://www.wikidata.org/entity/Q6124513,Semana Santa en Cuenca,Cuenca,http://www.wikidata.org/entity/Q15098
Q6124517,http://www.wikidata.org/entity/Q6124517,Semana Santa en Cáceres,Cáceres,http://www.wikidata.org/entity/Q15678
Q6124527,http://www.wikidata.org/entity/Q6124527,Semana Santa en Hellín,Hellín,http://www.wikidata.org/entity/Q842652
Q6124557,http://www.wikidata.org/entity/Q6124557,Semana Santa en Medina de Rioseco,Medina de Rioseco,http://www.wikidata.org/entity/Q1648251
Q6124559,http://www.wikidata.org/entity/Q6124559,Semana Santa en Medina del Campo,Medina del Campo,http://www.wikidata.org/entity/Q693913
Q6124571,http://www.wikidata.org/entity/Q6124571,Semana Santa en Orihuela,Orihuela,http://www.wikidata.org/entity/Q487786
Q6124609,http://www.wikidata.org/entity/Q6124609,Semana Santa en Ávila,Ávila,http://www.wikidata.org/entity/Q15688
Q7884112,http://www.wikidata.org/entity/Q7884112,Semana Santa en Cartagena,Cartagena,http://www.wikidata.org/entity/Q162615
Q8355038,http://www.wikidata.org/entity/Q8355038,Descenso Internacional del Sella,Arriondas,http://www.wikidata.org/entity/Q624774
Q8961628,http://www.wikidata.org/entity/Q8961628,Fiestas de la Magdalena (Castellón de la Plana),Castellón de la Plana,http://www.wikidata.org/entity/Q15092
Q9075872,http://www.wikidata.org/entity/Q9075872,Semana Santa Ferrolana,Ferrol,http://www.wikidata.org/entity/Q485329
Q9075873,http://www.wikidata.org/entity/Q9075873,Semana Santa en Granada,Granada,http://www.wikidata.org/entity/Q8810
Q9075874,http://www.wikidata.org/entity/Q9075874,Semana Santa en León,León,http://www.wikidata.org/entity/Q15699
Q9075878,http://www.wikidata.org/entity/Q9075878,Semana Santa en Lorca,Lorca,http://www.wikidata.org/entity/Q47571
Q9075880,http://www.wikidata.org/entity/Q9075880,Semana Santa en Salamanca,Salamanca,http://www.wikidata.org/entity/Q15695
Q9075883,http://www.wikidata.org/entity/Q9075883,Semana Santa en Málaga,Málaga,http://www.wikidata.org/entity/Q8851
Q9075883,http://www.wikidata.org/entity/Q9075883,Semana Santa en Málaga,provincia de Málaga,http://www.wikidata.org/entity/Q95028
Q9075887,http://www.wikidata.org/entity/Q9075887,Semana Santa en Valladolid,Valladolid,http://www.wikidata.org/entity/Q8356
Q9075892,http://www.wikidata.org/entity/Q9075892,Semana Santa en Zaragoza,Zaragoza,http://www.wikidata.org/entity/Q10305
Q12388488,http://www.wikidata.org/entity/Q12388488,Fiesta de Santiago Apóstol,Santiago de Compostela,http://www.wikidata.org/entity/Q14314
Q16609048,http://www.wikidata.org/entity/Q16609048,Moros y Cristianos de Villajoyosa,Villajoyosa,http://www.wikidata.org/entity/Q935589
Q23046683,http://www.wikidata.org/entity/Q23046683,Semana Santa en Crevillente,Crevillente,http://www.wikidata.org/entity/Q1616611
Q23047569,http://www.wikidata.org/entity/Q23047569,Romería Vikinga de Catoira,Catoira,http://www.wikidata.org/entity/Q377244
Q23199311,http://www.wikidata.org/entity/Q23199311,Semana Santa en Toledo,Toledo,http://www.wikidata.org/entity/Q5836
Q23199332,http://www.wikidata.org/entity/Q23199332,Hogueras de San Juan,La Coruña,http://www.wikidata.org/entity/Q8757
Q23199370,http://www.wikidata.org/entity/Q23199370,Motín de Aranjuez,Aranjuez,http://www.wikidata.org/entity/Q486792
Q25511382,http://www.wikidata.org/entity/Q25511382,Corpus Christi en Puenteareas,Puenteareas,http://www.wikidata.org/entity/Q617119
Q1324590,http://www.wikidata.org/entity/Q1324590,Romería de El Rocío,Almonte,http://www.wikidata.org/entity/Q736906
Q5556012,http://www.wikidata.org/entity/Q5556012,Semana Santa en Vélez-Málaga,Vélez-Málaga,http://www.wikidata.org/entity/Q492741
Q5752844,http://www.wikidata.org/entity/Q5752844,Carnaval de Isla Cristina,Isla Cristina,http://www.wikidata.org/entity/Q736926
Q6101908,http://www.wikidata.org/entity/Q6101908,Real Feria de Agosto (Antequera),Antequera,http://www.wikidata.org/entity/Q572041
Q6124471,http://www.wikidata.org/entity/Q6124471,Semana Santa en Morón de la Frontera,Morón de la Frontera,http://www.wikidata.org/entity/Q609094
Q6124481,http://www.wikidata.org/entity/Q6124481,Semana Santa en Antequera,Antequera,http://www.wikidata.org/entity/Q572041
Q6124578,http://www.wikidata.org/entity/Q6124578,Semana Santa en Ronda,Ronda,http://www.wikidata.org/entity/Q13153
Q6124588,http://www.wikidata.org/entity/Q6124588,Semana Santa en Sanlúcar de Barrameda,Sanlúcar de Barrameda,http://www.wikidata.org/entity/Q210887
